ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
12341,25.4306,19.4551,12.0839,0.10486E+02,0.28954E+00,14,4.2282,14,4.2060,9263.4473,15,8.8824,14,8.4342,0.00000E+00,0.00000E+00,COELESCE
12415,12.7641,12.1499,22.0004,0.12592E+01,0.18548E+00,13,1.4385,13,1.2355,96.9718,13,2.6740,15,3.1615,0.00000E+00,0.00000E+00,COELESCE
12447,25.1984,17.9924,12.7964,0.87688E+01,0.30410E+00,14,4.0504,14,3.5826,5999.5430,15,8.7188,14,7.6330,0.00000E+00,0.00000E+00,COELESCE
12608,32.8205,10.8307,15.1408,0.70177E+01,0.41658E+00,14,5.8670,13,1.9549,2210.1140,15,10.1840,14,7.8219,0.00000E+00,0.00000E+00,COELESCE
12616,140.1026,56.9977,5.4550,0.45855E+02,0.88222E-02,14,37.6888,14,31.8765,8358.2490,15,39.9970,14,69.5652,0.00000E+00,0.00000E+00,COELESCE
12797,16.4400,7.0921,30.5468,0.24812E+01,0.83486E+00,13,1.5765,13,1.2355,49.8705,13,2.8120,15,3.6379,0.00000E+00,0.00000E+00,COELESCE
12851,31.6592,13.4733,13.9359,0.11484E+02,0.48714E+00,14,5.6842,13,2.5985,8554.2334,15,10.0544,14,8.2827,0.00000E+00,0.00000E+00,COELESCE
12931,23.2429,11.8152,22.9611,0.23509E+01,0.39137E+00,14,3.1802,13,1.2355,178.9663,14,4.4157,15,2.7177,0.00000E+00,0.00000E+00,COELESCE
12959,16.6036,12.0676,21.2511,0.27160E+01,0.70256E+00,13,1.7929,13,1.6916,99.4877,14,3.4845,15,5.4374,0.00000E+00,0.00000E+00,COELESCE
13208,24.7843,20.8602,11.6383,0.19686E+02,0.76364E+00,14,3.3019,14,4.4075,10148.4092,14,7.7094,15,9.0480,0.00000E+00,0.00000E+00,COELESCE
13438,12.0801,11.8554,23.2536,0.39005E+01,0.60576E+00,13,1.3740,13,1.2355,1713.0625,13,2.6095,15,3.6551,0.00000E+00,0.00000E+00,COELESCE
13538,14.5515,7.2101,33.4078,0.20371E+01,0.77331E+00,13,1.4247,13,1.2355,59.4184,13,2.6602,15,3.5649,0.00000E+00,0.00000E+00,COELESCE
13555,26.3417,19.5441,11.9602,0.11852E+02,0.56051E+00,14,4.0750,14,3.9833,6326.4976,15,8.7349,14,8.0583,0.00000E+00,0.00000E+00,COELESCE
13609,30.0099,12.1710,15.5142,0.10850E+02,0.38253E+00,14,5.9201,13,2.3046,10980.9951,15,10.2307,14,8.2247,0.00000E+00,0.00000E+00,COELESCE
13651,17.9284,11.2608,21.0912,0.69448E+01,0.60301E+00,13,2.0410,13,1.8890,5020.2671,14,3.9301,15,5.7658,0.00000E+00,0.00000E+00,COELESCE
13706,11.7079,7.8923,34.8895,0.49914E+01,0.92436E+00,13,1.2369,13,1.2355,77.1079,13,2.4725,15,3.6380,0.00000E+00,0.00000E+00,COELESCE
13711,9.8838,7.5505,42.3392,0.92263E+01,0.93579E+00,13,1.2626,13,1.2355,334.5633,13,2.4981,15,3.7000,0.00000E+00,0.00000E+00,COELESCE
